@relation LibReaderClassificationProblem

@attribute bookname string
@attribute author string
@attribute publisher string
@attribute topic string
@attribute categorycode string
@attribute acquirecode string
@attribute lang string
@attribute Class {人文科学,自然科学,社会科学,科学技术,其他}

@data
贞观政要,'吴兢,',北京北京蓝天出版社2007,贞观政要,K242,K242/W840-1,chi,人文科学
陶渊明和他的诗赋,'周振甫,',南京江苏教育出版社2006,'陶渊明,',K825.6,null,chi,人文科学
'We the people','Ginsberg, Benjamin.',null,null,null,null,null,自然科学
美国不是故意的,贝蒂,北京中国人民大学出版社2010,世界经济,F113.4,F113.4/B242,chi,社会科学
失落的圣经,汉森,北京世界知识出版社2007,圣经,B971,null,chi,人文科学
新教在华传教前十年回顾,米尔恩,郑州大象出版社2008,马礼逊,B979.2,B979.2/M426,chi,人文科学
坟墓的秘密,'罗宾斯,',北京中信出版社2005,骷髅会,D771.264,D771.264/L871,chi,社会科学
美国基督教福音派及其对国际关系的影响,涂怡超,上海上海人民出版社2010,福音教派,B976.3,B976.3/T891,chi,人文科学
一个美国外交官使华记,芮恩施,北京文化艺术出版社2010,中美关系,D829.712,D829.712/R842,chi,社会科学
基督教与近代中国社会,'顾卫民,',上海上海人民出版社2010,基督教史,B979.2,B979.2/G885,chi,人文科学
贺川丰彦,席尔德根,天津天津人民出版社2009,'贺川丰彦,',B979.931.3,B979.931.3/X426,chi,人文科学
当代基督宗教社会关怀,'王美秀,',上海上海三联书店2006,基督教,B978,B978/W165.9,chi,人文科学
基督教与西方思想,'威尔肯斯,',北京北京大学出版社2005,基督教,B97,B97/W242,chi,人文科学
荆棘中的火焰,穆华黎,北京金城出版社2006,新教,B979.95,B979.95/M835,chi,人文科学
在上帝与恺撒之间,丛日云,北京三联书店2003,基督教,B978,B978/C766.9,chi,人文科学
自由的崛起,'凯利,',南昌江西人民出版社2008,'加尔文,',B979.956.5,B979.956.5/K145,chi,人文科学
宗教改革运动思潮,麦格拉思,北京中国社会科学出版社2009,宗教改革运动,B979,B979/M143,chi,人文科学
美国的本质,于歌,北京当代中国出版社2006,新教,B976.3,B976.3/Y830,chi,人文科学
文明冲突、恐怖主义与宗教关系,周展,北京东方出版社2009,恐怖主义,D815.5-53,D815.5-53/Z378.90,chi,社会科学
文明的冲突,伯克,上海上海三联书店2006,文化史,K503,K503/B142,chi,人文科学
教堂的故事,'罗伯特,',北京中国电影出版社2005,教堂,B977,B977/L871,chi,人文科学
'政道: 仇和十年',包永辉,杭州浙江人民出版社2009,仇和,K827=7,K827=7/B179.3,chi,人文科学
屐痕处处,<BR>,南京江苏文艺出版社2009,散文集,I266.4,I266.4/Y822-2,chi,人文科学
'Four months afoot in Spain','Franck, Harry A.',null,null,null,K955.19/F822,null,自然科学
叶芝,史德普,大连大连理工大学出版社2008,叶芝,K835.625.6=52,K835.625.6=52/S342,chieng,人文科学
'Francis Bacon','Crowther, J. G.',null,null,null,K825.6173/B128C,null,自然科学
牛津欧洲史,温克斯,长春吉林出版集团有限责任公司2009,欧洲,K500,K500/W254,chi,人文科学
一个孤独漫步者的遐想,'卢梭,',北京中国国际广播出版社2008,散文,I565.64,I565.64/L878-5,chi,人文科学
国际跨文化传播精华文选,'爱门森,',杭州浙江大学出版社2007,大众传播,G206.3-53,G206.3-53/A452,chi,社会科学
中国智慧的跨文化传播,冯智强,青岛中国海洋大学出版社2011,'林语堂,',I206.7,I206.7/F269.6,chi,人文科学
英文书信手册(英汉对照),'Xing, Tifu',北京商务印书馆1986,null,H315,H315/X72,eng,人文科学
英语商务书信实战写作案例110,张华慧,大连大连理工大学出版社2010,商务,H315,H315/Z316.331,chieng,人文科学
文化软实力战略研究,唐代兴,北京人民出版社2008,文化事业,G12,G12/T162.9,chi,社会科学
黑信封,马尼亚,长春吉林出版集团有限责任公司2008,长篇小说,I542.45,I542.45/M154,chi,人文科学
向日葵,'苏童,',上海上海文艺出版社2004,短篇小说,I247.7,I247.7/S870/4,chi,人文科学
白蛇,'严歌苓,',广州花城出版社2005,中篇小说,I247.7,I247.7/Y153.5-4,chi,人文科学
元前陶渊明接受史,'李剑锋,',济南齐鲁书社2002,'陶渊明,',I207.22,I207.22/L442,chi,人文科学
山水田园诗派研究,'葛晓音,',沈阳辽宁大学出版社1993,田园诗,I207.209,I207.209/G299/2,chi,人文科学
'Love, etc. /','Barnes, Julian.',null,null,null,I561.45/B165.41-1,null,自然科学
伴你一生的英语美文,牛一,北京石油工业出版社2007,英语,H319.4,H319.4/N489.0,chieng,人文科学
池塘涟漪,王军,武汉武汉大学出版社2009,英语,H319.4,H319.4/W164.02,chieng,人文科学
漫长的婚约,'雅普瑞索,',沈阳辽宁教育出版社2005,长篇小说,I565.45,I565.45/Y168,chi,人文科学
语法新干线,史建斌,北京外交出版社2001,英语,H314,H314/S344.1,chi,人文科学
你的英文错了吗?,勒贝夫,null,null,null,null,null,自然科学
大话PPT,神龙工作室,null,null,null,null,null,自然科学
世界商人的经商性格与智慧,古木,北京经济管理出版社2004,商业经营,F715,F715/G850.1,chi,社会科学
顶尖创意,伯恩斯,福州海潮摄影艺术出版社2001,商业经营,F715,F715/B725,chi,社会科学
转身看策划,叶茂中,北京中华工商联合出版社1999,广告策划,F713.81,F713.81/Y259,chi,社会科学
一百个人的十年,冯骥才,null,null,null,null,null,自然科学
中国人的特性,明恩溥,北京光明日报出版社1998,民族精神,C912.5,C912.5/M462.6,chi,社会科学
一本正经英国人,梁凤鸣,北京时事出版社1997,民族特点,C912.5,C912.5/L416.25/1,chi,社会科学
心理分析师,郑莉,北京新世界出版社2009,长篇小说,I247.57,I247.57/Z326.50,chi,人文科学
中国第一病,赵玉泓,杭州浙江文艺出版社2004,长篇小说,I247.57,I247.57/Z317.931,chi,人文科学
狗一年猪一季,'何满子,',石家庄河北教育出版社1997,散文,I267,I267/H259-2,chi,人文科学
英国人,迈阿尔,北京外文出版社2001,英语,H319.4,H319.4/M415.1,chieng,人文科学
汉语教学,崔希亮,null,null,null,null,null,自然科学
中世纪骑士故事,司各特,上海上海科学技术文献出版社2008,英语,H319.4:I,H319.4:I/S432,chieng,人文科学
做你想成为的人,黄永军,北京线装书局2004,个人,B825,B825/H816.94,chi,人文科学
一生要知道的世界历史100人,陈枫,null,null,null,null,null,自然科学
孙子三论,钮先钟,桂林广西师范大学出版社2003,孙子兵法,E892.25,E892.25/N489.9,chi,社会科学
中国思想地图,熊逸,null,null,null,null,null,自然科学
先秦诸子与民间文化,罗永麟,null,null,null,null,null,自然科学
先秦诸子与史学,'林晓平,',北京中国社会科学出版社2009,先秦哲学,B220.5,B220.5/L459.6,chi,人文科学
先秦诸子思维研究,'刘学,',null,null,null,null,null,自然科学
现代语言学,陈媛,null,null,null,null,null,自然科学
公关传播案例评析,胡学亮,北京中国传媒大学出版社2008,公共关系学,C912.3,C912.3/H895,chi,社会科学
巧妙对联与对联故事,周楠湘,北京中国华侨出版社2007,对联,I269.6,I269.6/Z378.59,chi,人文科学
世界十大古典悲剧故事,狄其骢,null,null,null,null,null,自然科学
英语短篇小说,柏成鹏,南京南京大学出版社2002,英语,H319.4,H319.4/B141.6,chieng,人文科学
英语词汇的奥秘,蒋争,北京中国国际广播出版社2000,英语,H313,H313/J416.90-2,chi,人文科学
阿兰·罗伯-格里耶,'阿勒芒,',上海上海人民出版社2004,'罗伯-格里耶,',I565.065,I565.065/A525,chi,人文科学
实用旅游英语教程导读,'魏国富,',null,null,null,null,null,自然科学
美国故事,严歌苓,北京昆仑出版社2005,短篇小说,I247.7,I247.7/Y153.5/3,chi,人文科学
'永别了,武器',海明威,上海上海译文出版社2002,长篇小说,I712.45,I712.45/H145/19,chi,人文科学
昨夜闲潭梦落花,江湖夜雨,天津天津教育出版社2008,唐诗,I207.227.42,I207.227.42/J416.39,chi,人文科学
立足当下,加德纳,西安陕西师范大学出版社2010,成功心理学,B848.4,B848.4/J412,chi,人文科学
望穿你的心,史威生,北京中国城市经济社会出版社1998,青年心理学,B844.2,B844.2/S348.7/1,chi,人文科学
儿子与情人,戴维.赫伯特.劳伦斯,北京外语教学与研究出版社1994.12,null,I561.45,I561.45/L186.2,chi,人文科学
灵魂21克,王春元,北京作家出版社2007,长篇小说,I247.57,I247.57/W161.92,chi,人文科学
中级百科读物英汉对照100篇,马锦儒,null,null,null,null,null,自然科学
我最喜爱的一段英文,毛荣贵,北京外文出版社2002,英语,H319.4,H319.4/M176.3/5,chieng,人文科学
爱自己,'鲍尔吉·原野,',北京中国三峡出版社2006,散文,I267,I267/B172-1,chi,人文科学
新概念英语,程前光,长春吉林大学出版社2001,null,H313,H313/C326.63/1,chi,人文科学
新概念实用英语语法,梁志,北京商务印书馆国际有限公司2010,英语,H314,H314/L416.90-1,chieng,人文科学
精美散文,施德庆,乌鲁木齐新疆人民出版社2003,散文,I267,I267/S342.6/8,chi,人文科学
夹缝中生存,贾乙,北京中国盲文出版社2002,报告文学,I253.7,I253.7/J419.0,chi,人文科学
雄浑飘逸大唐诗,张晓云,合肥安徽人民出版社2009,唐诗,I207.227.42,I207.227.42/Z316.99,chi,人文科学
有一种爱使人泪流满面,芸芸,上海上海锦绣文章出版社2008,故事,I247.8,I247.8/Y858.0,chi,人文科学
妒嫉之香,'辻仁成,',青岛青岛出版社2005,长篇小说,I313.45,I313.45/S346.1,chi,人文科学
最易掌握的学英语窍门308例,浩瀚,上海上海科学普及出版社2008,英语,H319.3,H319.3/H173.0-1,chieng,人文科学
两世人,王开玺,null,null,null,null,null,自然科学
心理素质的养成与训练,邢邦志,上海复旦大学出版社2002,学生,G444,G444/X461.9,chi,社会科学
完全图解心理疗法,霍欣彤,海口南海出版公司2008,精神疗法,R749.055,R749.055/H879.7,chi,科学技术
魔鬼心理学,邓明明,null,null,null,null,null,自然科学
闪了一下腰,戴来,北京群众出版社2005,短篇小说,I247.7,I247.7/D145.0/3,chi,人文科学
聆听震撼世界的声音,王红欣,大连大连理工大学出版社2008,英语,H319.4,H319.4/W163.93,chieng,人文科学
抓住每分钱,洛克菲勒,西安陕西师范大学出版社2009,洛克菲勒,K837.125.38=51,K837.125.38=51/L874,chi,人文科学
考什么别考研,小宋,广州花城出版社2006,长篇小说,I247.57,I247.57/X417.702,chi,人文科学
智圆行方的世界,'龚红月,',null,null,null,null,null,自然科学
中外名言佳句精选,汪乾祥,北京金盾出版社2005,英语,H319.4:H,H319.4:H/W166.9,chieng,人文科学
骑士精神,折鸿雁,西安西北工业大学出版社1999.12,英语,H319.4,H319.4/Z323.9/2,chi,人文科学
社会心理学,崔丽娟,null,null,null,null,null,自然科学
冰冷的火,叶梓,null,null,null,null,null,自然科学
爱默生哲理思考美文,爱默生,北京中国书籍出版社2009,英语,H319.4:B712.41,H319.4:B712/A457-1,chieng,人文科学
生命中的第一个女人,吉乔,广州花城出版社1998,散文,I16,I16/J460,chi,人文科学
非常美境,王淼,济南山东友谊出版社2002,文学评论,I106,I106/W165.01,chi,人文科学
'Reading for ideas',范东生,上海东华大学出版社2009,英语,H319.4,H319.4/F152.7,eng,人文科学
那些光影飞华的魅惑,章华,西安陕西师范大学出版社2009.09,英语,H319.4:I16,H319.4:I16/Z316.301,chieng,人文科学
生死谈判,李小圣,北京中国华侨出版社2007,纪实文学,I25,I25/L497.2,chi,人文科学
金融工程,庄新田,北京科学出版社2009,金融工程,F830.49-43,F830.49-43/Z396.97,chi,社会科学
利率市场化的全球经验,张健华,北京机械工业出版社2012,利率市场化,F830.48,F830.48/Z316.43,chi,社会科学
浮生六记,沈复,北京人民文学出版社2010,古典散文,I264.9,I264.9/S325.20-9,chi,人文科学
丰子恺游记,'丰子恺,',桂林广西师范大学出版社2004,游记,I266.4,I266.4/F269.4,chi,人文科学
立场,余虹,北京人民文学出版社2006-,社会科学,C55,C55/Y830-1,chi,社会科学
旅游服务营销,'莫里森,',null,null,null,null,null,自然科学
谈判者心智,'汤普森,',北京中国人民大学出版社2005,谈判学,C912.3,C912.3/T166,chi,社会科学
神圣自然,鲁春芳,杭州浙江大学出版社2009,浪漫主义,I561.072,I561.072/L812,chi,人文科学
东方人与西方人的50个思维差异,秦培龙,null,null,null,null,null,自然科学
海明威传,吴晓奎,北京世界知识出版社2001,海明威,K837.125.6,K837.125.6/W894,chi,人文科学
后现代语境下海明威的生态观和性属观,戴桂玉,北京中国社会科学出版社2009,海明威,I712.065,I712.065/D143.9,chi,人文科学
超越感觉,鲁吉罗,上海复旦大学出版社2010,思维方法,B80,B80/L844,chi,人文科学
表达的艺术,李承一,北京人民邮电出版社2012,图形软件,TP391.41,TP391.41/L419-2,chi,科学技术
微观经济学,'霍尔,',null,null,null,null,null,自然科学
文化智商,彼得森,北京法律出版社2008,文化学,G0,G0/B422,chi,社会科学
柏拉图文艺对话集,柏拉图,合肥安徽教育出版社2007,柏拉图,B502.232,B502.232/B751-15,chi,人文科学
缘缘堂,丰子恺,西安陕西师范大学出版社2011,散文集,I266,I266/F269.4-14,chi,人文科学
丰子恺漫画画谱,'丰子恺,',济南齐鲁书社2010,漫画,J228.2,J228.2/F269.4-4,chi,人文科学
海蒂性学报告,海特,海口海南出版社2011,性学,C913.1,C913.1/H147-1,chi,社会科学
人力资源管理案例精选,刘大卫,上海上海交通大学出版社2011,企业管理,F279.1,F279.1/L482.8,chi,社会科学
体验营销,'施米特,',北京清华大学出版社2004,企业管理,F274,F274/S345-2,chi,社会科学
中国企业竞争力报告,<BR>,北京社会科学文献出版社2003-,企业经济,F279.2-55,F279.2-55/J451.0,chi,社会科学
海底两万里,'凡尔纳,',北京人民文学出版社2004,科学幻想小说,I565.44,I565.44/F152-19,chi,人文科学
异端的权利,茨威格,长春吉林人民出版社2011,基督教史,B521,B521/C482,chi,人文科学
少有人走的路,穆尔,长春吉林文史出版社2009,精神疗法,R749.055,R749.055/M826,chi,科学技术
'Positioning :','Ries, Al.',null,null,null,F713.8/R427.1-2,null,自然科学
真爱让我如此幸福,'安徒生,',北京国际文化出版公司2002,'安徒生,',K835.345.6,K835.345.6/A522.3,chi,人文科学
国际商务合同翻译教程,兰天,大连东北财经大学出版社2011,国际贸易,H315.9,H315.9/L157.0,chieng,人文科学
游戏颠覆者,'雷富礼,',北京机械工业出版社2008,日用化学品,F471.267,F471.267/L242,chi,社会科学
细胞生命的礼赞,托玛斯,长沙湖南科学技术出版社1995,'生物学 - 生命',Q-0,Q-0/T875,chi,自然科学
要素品牌战略,科特勒,null,null,null,null,null,自然科学
巧用故事做培训,帕金,北京中国商业出版社2011,企业管理,F272.921,F272.921/P144,chi,社会科学
'相信, 所以不再注视','毕淑敏,',北京解放军出版社2002,散文,I267,I267/B475/5,chi,人文科学
'The messenger must die','Bornemark, Kjell-Olof',null,null,null,I532.45/B736,null,自然科学
高级英语阅读教程,施发敏,北京北京大学出版社2009,英语,H319.4,H319.4/S342.5-2,engchi,人文科学
OFF学,'大前研一,',北京中信出版社2010,企业管理,F272.9,F272.9/D164,chi,社会科学
执行力,'托马斯,',北京中国长安出版社2003,企业管理,F270,F270/T375.6,chi,社会科学
海星模式,'布莱福曼,',北京中信出版社2008,企业管理,F272.9,F272.9/B851.1,chi,社会科学
逆转力,查兰,北京中国人民大学出版社2009,企业领导学,F272.91,F272.91/Z315-1,chi,社会科学
双城记,孙法理,南京译林出版社1996.6,null,I561.44,I561.44/D432/7,chi,人文科学
安静的位置,'周国平,',北京北京理工大学出版社2009,散文,I267,I267/Z378.36-22,chi,人文科学
伏尔泰的椰子,布鲁玛,北京生活·读书·新知三联书店2007,文化史,K561.03,K561.03/B858,chi,人文科学
墨子,'墨翟,',郑州中州古籍出版社2008,墨翟,B224.4,B224.4/M720,chi,人文科学
汤姆叔叔的小屋,斯托夫人,北京北京燕山出版社2001,长篇小说,I712.44,I712.44/S478/2,chi,人文科学
其实你就是人物,'陈祖芬,',北京中国青年出版社2007,报告文学,I25,I25/C325.922-1,chi,人文科学
'谢灵运 鲍照集',丁福林,南京凤凰出版社2009,文学,I213.911,I213.911/D462.5,chi,人文科学
陶渊明集,陶渊明,太原山西古籍出版社2004,古典诗歌,I213.722,I213.722/T179.5,chi,人文科学
走进西点军校,王飞凌,北京中国青年出版社2004,西点军校,E712.3,E712.3/W162.5,chi,社会科学
三十六计,赵机,北京宗教文化出版社2002,三十六计,E892,E892/Z317.4,chi,社会科学
'Notes from underground','Dostoevsky, Fyodor Mikhailovich',null,null,null,I512.44/D777.2/8,null,自然科学
'Samira and Samir /','Shakib, Siba.',null,null,null,null,null,自然科学
里根·传,高新涛,北京当代世界出版社2008,里根,K837.127=5,K837.127=5/G179.7,chi,人文科学
'向左走 向右走',米勒,北京机械工业出版社2010,经济发展,F171.24,F171.24/M452,chi,社会科学
国际贸易实务,吕时礼,合肥安徽大学出版社2010,国际贸易,F740.4-43,F740.4-43/L875,chi,社会科学
'巴黎圣母院 /','Hugo, Victor,',null,null,null,I565.44/H837.8-4,null,自然科学
大学英语四级考试阅读理解100篇,濮宏魁,上海上海外语教育出版社2006,英语,H319.4,H319.4/P634,chieng,人文科学
东西论剑,默多克,北京北京出版社2006,传播媒介,G219.2,G219.2/M728,chi,社会科学
朗曼英语语法,亚历山大,null,null,null,null,null,自然科学
博赞学习技巧,'博赞,',北京中信出版社2009,思维方法,B804,B804/B791,chi,人文科学
把优秀当成一种习惯,叶飞,武汉武汉出版社2009,企业,F272.92,F272.92/Y220,chi,社会科学
大学英语四级710分考试标准阅读100篇,江涛,北京石油工业出版社2006,英语,H319.4,H319.4/J416.70-2,chieng,人文科学
白老虎,阿迪加,北京人民文学出版社2010,长篇小说,I351.45,I351.45/A244,chi,人文科学
我执,梁文道,桂林广西师范大学出版社2009,散文集,I267,I267/L416.82,chi,人文科学
英语构词学习手册,赵宏宇,大连大连理工大学出版社1999.8,英语,H314.1,H314.1/Z317.39,chi,人文科学
硅谷禁书,哈尼尔,北京中国华侨出版社2008,成功心理学,B848.4,B848.4/H154,chi,人文科学
张道真英语语法,张道真,北京商务印书馆国际有限公司2002,英语,H314,H314/Z316.29/2,chieng,人文科学
鹰眼,殷红,昆明云南人民出版社2005,新闻,I253,I253/Y453.0,chi,人文科学
'China in transition','China Reconstructs',null,null,null,I253/C539,null,自然科学
说出真相,克拉克,北京东方出版社2008,紧急事件,D035,D035/K251,chi,社会科学
社会学原理,'青井和夫,',null,null,null,null,null,自然科学
激扬文字,梭罗,海口海南出版社2007　,英语,H319.4:I712.64,H319.4:I712.64/S875,chieng,人文科学
活在南非,刘雪,长春时代文艺出版社2002,纪实文学,I25,I25/L489.01,chi,人文科学
四大名著人物神怪通览,桂晓元,上海上海人民出版社2006,'吴承恩,西游记',I207.41,I207.41/G849.9,chi,人文科学
清史演义,蔡东藩,北京华夏出版社2007,讲史小说,I246.43,I246.43/C142.2-18,chi,人文科学
两个独身的女人,汪天行,南昌百花洲文艺出版社2005,文学,I217.62,I217.62/W167.9/1,chi,人文科学
美国总统情书精选50封,刘植荣,南昌江西人民出版社2008,英语,H319.4:I71,H319.4:I71/L489.6,chieng,人文科学
最美丽的英文,王姿萱,哈尔滨哈尔滨出版社2008,英语,H319.4:I16,H319.4:I16/W169.91,chieng,人文科学
红楼梦版本辨源,'杨传镛,',北京北京图书馆出版社2007,红楼梦,I207.411,I207.411/Y161.9,chi,人文科学
跨越十三层楼的谋杀,沈峰,长春时代文艺出版社2006,短篇小说,I247.7,I247.7/S325.20,chi,人文科学
希特勒,余才千,北京京华出版社2003,'希特勒,',K835.167=5,K835.167=5/Y816/1,chi,人文科学
刘宓庆翻译散论,'刘宓庆,',北京中国对外翻译出版公司2006,英语,H315.9,H315.9/L485.6-7,chieng,人文科学
新编奈达论翻译,谭载喜,北京中国对外翻译出版公司1999.10,null,H315.9,H315.9/T159.9,chi,人文科学
懂英语,奈达,北京外语教学与研究出版社1998,英语,H31,H31/N142,chieng,人文科学
当代翻译理论,刘宓庆,北京中国对外翻译出版公司1999.8,英语,H315.9,H315.9/L485.6/1,chi,人文科学
英语专业毕业论文写作指南,李旭,北京国防工业出版社2007,英语,G642.477,G642.477/L490,chieng,社会科学
英语专业毕业论文写作手册,黄国文,上海上海外语教育出版社2012,英语,G642.477,G642.477/H963.8,chieng,社会科学
吸引力法则,'沃特尔斯,',北京中国发展出版社2007,成功心理学,B848.4,B848.4/W772,chi,人文科学
哈姆雷特,莎士比亚,上海上海外语教育出版社2012,英语,H319.4:I561,H319.4:I561/S317-31,chieng,人文科学
全球时代的民族国家,吉登斯,南京江苏人民出版社2012,吉登斯,D03,D03/J422,chi,社会科学
现代英语语言学概论,戴炜栋,上海上海外教出版社1998.8,英语,H31,H31/D148.2/1,chi,人文科学
语言学概论,蓝纯,北京外语教学与研究出版社2009,语言学,H0-43,H0-43/L151,chi,人文科学
放下。爱,素黑,合肥安徽教育出版社2007,爱情,C913.1-49,C913.1-49/S830-3,chi,社会科学
在爱中修行,素黑,海南南方出版社2008,情感,C913.1-49,C913.1-49/S830-2,chi,社会科学
爱你就像爱生命,王小波,北京朝华出版社2004,王小波,K825.6,K825.6/W169.1,chi,人文科学
韩国文化指南,海外文化弘报院文化体育观光部,首尔大韩民国文化体育观光部海外文化弘报院2009,null,G131.26,G131.26/H883.31,chi,社会科学
潮汕文化精神,陈晓东,广州暨南大学出版社2011,文化精神,G127.653,G127.653/C325.92,chi,社会科学
基础会计,'陈国辉,',大连东北财经大学出版社2009,会计学,F230-43,F230-43/C325.33-1,chi,社会科学
周末读完英国史,丹尼尔,上海上海交通大学出版社2009,英国,K561.09,K561.09/D155,chi,人文科学
周末读完法国史,科尔,上海上海交通大学出版社2009,法国,K565.09,K565.09/K226,chi,人文科学
周末读完美国史,麦肯纳尼,上海上海交通大学出版社2009,美国,K712.09,K712.09/L841,chi,人文科学
谢灵运集,谢灵运,长沙岳麓书社1999,古典诗歌,I213.92,I213.92/L492,chi,人文科学
'Oliver Twist :','Dickens, Charles,',null,null,null,I561.44/D414.1-32,null,自然科学
'A tale of two cities','Dickens, Charles, 1812-1870',null,null,null,I561.44/D414.1/1=89,null,自然科学
'The summer before the dark','Lessing, Doris May, 1919-',null,null,null,null,null,自然科学
外企高管面试方略,孟方涛,北京海潮出版社2012,三资企业,D669.2,D669.2/M262.7,chi,社会科学
法律与道德,范进学,北京北京大学出版社上海上海交通大学出版社2012,法伦理学,D90-053,D90-053/F154.9,chi,社会科学
从文学翻译到翻译文学,'马红军,',上海上海译文出版社2006,'许渊冲,',I046,I046/M134,chi,人文科学
文学翻译中原作陌生化手法的再现研究,金兵,上海复旦大学出版社2009,文学,I046,I046/J451.0,chi,人文科学
中西戏剧审美陌生化思维研究,邹元江,北京人民出版社2009,戏剧美学,J801,J801/Z789.4,chi,人文科学
英国文学的伟大传统,鲁宾斯坦,上海上海译文出版社1998,文学史,I561.09,I561.09/L814/1,chi,人文科学
勃朗特一家的故事,维克瑞,北京外语教学与研究出版社[牛津][英国]牛津大学出版社1998,'英语 - 语言读物, 文学',H319.4:I-51,H319.4:I-51/V411.7,chieng,人文科学
萍遇18个她,良人,银川宁夏人民出版社2009,游记,I712.65,I712.65/L416.60,chi,人文科学
爱默生散文精选,爱默生,武汉长江文艺出版社2010,散文集,I712.64,I712.64/A457-8,chi,人文科学
英伦见闻录,欧文,南京江苏文艺出版社2011,散文集,I712.6,I712.6/O882,chi,人文科学
庄子哲学,王博,北京北京大学出版社2004,'庄子,',B223.55,B223.55/W710,chi,人文科学
墨子与苏格拉底,易继先,北京现代教育出版社2008,'墨翟,',B224.5,B224.5/Y449,chi,人文科学
'语言学纲要 (修订版) 学习指导书',王洪君,北京北京大学出版社2011,语言学,H0,H0/W163.4,chi,人文科学
酷爱人生,林语堂,呼和浩特内蒙古人民出版社1998,散文,I266,I266/L459.7/4,chi,人文科学
'Memoirs of a geisha','Golden, Arthur',null,null,null,null,null,自然科学
孔子语录一百则,丁往道,北京中国对外翻译出版公司1999,论语,H319.4:B,H319.4:B/D468.2,chieng,人文科学
怎样做对外宣传报道,刘洪潮,北京中国传媒大学出版社2005,对外政策,G219.2,G219.2/L483.1,chi,社会科学
那些有理想的人,'史班斯,',北京中信出版社2009,企业管理,F270.7,F270.7/S341,chi,社会科学
中国现代文学作品导读,钟军红,广州广东高等教育出版社2005,文学,I206.6,I206.6/Z376.43,chi,人文科学
我是你爸爸,'王朔,',天津天津人民出版社2007,长篇小说,I247.5,I247.5/W167.0-15,chi,人文科学
我的野生动物朋友,德格雷,昆明云南教育出版社2002,人类,Q958.12,Q958.12/D232,chi,自然科学
'Discontinued /','Thompson, Julian F.',null,null,null,I712.45/T375.4,null,自然科学
西方科学的起源,'林德伯格,',北京中国对外翻译出版公司2001,自然科学史,N095,N095/L452,chi,自然科学
英语短语捷进,希尔,北京中国对外翻译出版公司2002,短语,H314.3,H314.3/X426,chieng,人文科学
EQ女人,姜军,呼和浩特内蒙古人民出版社1998,女性,B844.5,B844.5/J416.40,chi,人文科学
逻辑学,'黑格尔,',北京人民出版社2002,逻辑学,B516.35,B516.35/H243/3,chi,人文科学
'I hate you--don\'t leave me :','Kreisman, Jerold J.',null,null,null,R74/K624.4,null,自然科学
中国时文精选,万晶琳,武汉长江文艺出版社2010-,散文,I267,I267/W164.5-1,chi,人文科学
爱尔兰史,基,上海东方出版中心2010,爱尔兰,K562,K562/J4,chi,人文科学
朱光潜谈人生,朱光潜,北京中国长安出版社2006,散文,I267,I267/Z383.6,chi,人文科学
失去灵魂的卓越,刘易斯,上海华东师范大学出版社2007,哈佛大学,G649.712.8,G649.712.8/L489,chi,社会科学
14天突破英语专业八级满分写作,方振宇,北京中国宇航出版社2011,英语,H315,H315/F169.9,chi,人文科学
柏拉图对话录,解灵芝,长春吉林人民出版社2003,'柏拉图,',B502.232,B502.232/X425.9,chi,人文科学
'谢灵运 鲍照诗选','谢灵运,',北京中华书局2005,古典诗歌,I222.739.1,I222.739.1/X425.9,chi,人文科学
趣闲而思远,马晓坤,杭州浙江大学出版社2005,'陶渊明,',I207.22,I207.22/M194,chi,人文科学
善良丰富高贵,周国平,沈阳万卷出版公司2009,散文集,I267,I267/Z378.36-23,chi,人文科学
铅笔素描的艺术,弗兰克,上海上海人民美术出版社2010,素描,J214.1,J214.1/F851,chi,人文科学
宋庆龄传,陈峰驰,北京中国文史出版社2007,宋庆龄,K827.7,K827.7/C325.21,chi,人文科学
攻克英语,于健,北京机械工业出版社2003,英语,H313.1,H313.1/Y840/1,chieng,人文科学
高级口译,陈佳,上海上海教育出版社2009,英语,H313,H313/C325.40,engchi,人文科学
基督教与中国文化,'吴雷川,',上海上海古籍出版社2008,基督教,B978,B978/W851,chi,人文科学
中国天主教,晏可佳,北京五洲传播出版社2004,罗马公教,B979.2,B979.2/Y154.4,chi,人文科学
基督宗教与中国大学教育,吴梓明,北京中国社会科学出版社2003,基督教,B977.2,B977.2/W895,chi,人文科学
庄子现代版,流沙河,上海上海古籍出版社1999,庄周,B223.54,B223.54/L487.3,chi,人文科学
别了，漫游奇境的爱丽丝,侯毅凌,北京外语教学与研究出版社2008,英语,H319.4,H319.4/H789.51-5,chieng,人文科学
开阔人生路,徐圆,北京中国人民大学出版社2009,名人,K820.7,K820.7/X890,chi,人文科学
成长1984,'魏微,',广州广东人民出版社2009,短篇小说,I217.02,I217.02/W248.0,chi,人文科学
想念,余颖,北京大众文艺出版社2007,散文,I217.2,I217.2/Y890,chi,人文科学
英语专业四级考试历年真题解析,陈新仁,北京中国对外翻译出版公司2002,英语,H319.6,H319.6/C325.96,chi,人文科学
流露你的真表情,'毕淑敏,',北京中国物资出版社2009,散文集,I267,I267/B475-45,chi,人文科学
流言,张爱玲,广州花城出版社1997.3,null,I266,I266/Z316.15,chi,人文科学
金银岛著,'史蒂文森,',西安陕西人民出版社2002,长篇小说,H319.4:I561,H319.4:I561/S728,chigeng,人文科学
